2019-12-12 21:17:06.048466 - Python Partest Version 0.5
Setting up test: runsperthread=50 threads=1 totalruns=50 payload=[{'name': 'Bob'} {'name': 'Joe'} {'name': 'Steve'}]

Raw results of each run:
containerID,contextSwitches,contextSwitchesDelta,cpuCores,cpuIdle,cpuIdleDelta,cpuIowait,cpuIowaitDelta,cpuIrq,cpuIrqDelta,cpuKrn,cpuKrnDelta,cpuModel,cpuNice,cpuNiceDelta,cpuSoftIrq,cpuSoftIrqDelta,cpuType,cpuUsr,cpuUsrDelta,frameworkRuntime,freeMemory,functionMemory,functionName,functionRegion,majorPageFaults,majorPageFaultsDelta,newcontainer,pageFaults,pageFaultsDelta,runtime,totalMemory,userRuntime,uuid,vmID,vmcpusteal,vmcpustealDelta,vmuptime
2019/12/12/[$LATEST]5b89876785564fd2bfa943b4bd9cd824,29101,761,2,492828,2397,11,0,0,0,137,1,62,0,0,4,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,371,1,11,408844,512,tutorial9,us-east-1,688,0,0,73039,1,12013,633804,12001,4828f38f-740b-4086-9a44-5aa2c09ead44,TBroUA,158,5,1576182693
2019/12/12/[$LATEST]5b89876785564fd2bfa943b4bd9cd824,26364,2,2,473287,0,11,0,0,0,133,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,348,0,8,409596,512,tutorial9,us-east-1,688,0,0,72046,0,8,633804,0,4828f38f-740b-4086-9a44-5aa2c09ead44,TBroUA,143,0,1576182693
2019/12/12/[$LATEST]fcc7d3f39bfa436d8a3ca069a08c5856,13181,1508,2,292983,2630,6,1,0,0,64,12,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,93,26,236,473100,512,tutorial9,us-east-1,641,1,1,61163,1127,13618,633804,13381,2dc8ab96-0e86-41b0-b5f7-ee5d5e71057d,mBp05T,57,25,1576183452
2019/12/12/[$LATEST]a93869d0cfce4d6f8907ec48e9eef4fc,21536,1130,2,390236,1822,12,0,0,0,136,5,62,0,0,2,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,304,28,25,415720,512,tutorial9,us-east-1,686,3,0,70668,424,9338,633804,9312,d0a5bb95-9b35-4bb2-9253-0b3acda23061,yVBXpQ,238,9,1576183089
2019/12/12/[$LATEST]812e2aa9aec64af0b75436a6ab3d09c7,20989,2071,2,266085,5116,9,0,0,0,110,6,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,324,30,6,405840,512,tutorial9,us-east-1,682,3,0,72702,406,25808,633804,25801,73aad9bd-ce4d-4405-ab6c-27d5012ddc73,V3MMI0,58,15,1576183706
2019/12/12/[$LATEST]fcc7d3f39bfa436d8a3ca069a08c5856,21268,2,2,318213,0,10,0,0,0,122,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,315,0,8,413940,512,tutorial9,us-east-1,681,0,0,70558,0,8,633804,0,2dc8ab96-0e86-41b0-b5f7-ee5d5e71057d,mBp05T,174,0,1576183452
2019/12/12/[$LATEST]11f62e8a6c6b408586b6c302dc8071b0,24447,2,2,319407,0,14,0,0,0,131,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,373,0,8,409492,512,tutorial9,us-east-1,690,0,0,72682,0,9,633804,1,e1707efd-06d3-4601-bd65-83f7b5a7b0cc,vfjy6n,147,0,1576183461
2019/12/12/[$LATEST]004c9f15db7d4685a3bf5cb6d0e02e45,22966,0,2,182133,0,3,0,0,0,126,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,358,0,3,404784,512,tutorial9,us-east-1,688,0,0,75577,0,4,633804,0,d79e1243-13ed-4f9d-99fd-590c02b47d4c,wlA3wq,18,0,1576184143
2019/12/12/[$LATEST]a93869d0cfce4d6f8907ec48e9eef4fc,24176,2,2,392368,0,12,0,0,0,143,0,62,0,0,4,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,365,0,4,410656,512,tutorial9,us-east-1,689,0,0,72284,0,5,633804,0,d0a5bb95-9b35-4bb2-9253-0b3acda23061,yVBXpQ,255,0,1576183089
2019/12/12/[$LATEST]ade6a3d911f743df9b97b8197ddb3061,22693,2,2,281746,0,5,0,0,0,128,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,319,0,5,410316,512,tutorial9,us-east-1,690,0,0,72493,0,6,633804,0,a96e99b1-d05f-4f26-b602-73c851b0b36d,hzWV28,67,0,1576183637
2019/12/12/[$LATEST]144dbb1e9eb44273ab5c23465f21fd41,26119,2,2,524715,0,12,0,0,0,139,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,353,0,15,413300,512,tutorial9,us-east-1,684,0,0,70979,0,16,633804,1,e7900f82-3990-43ee-8e05-db22673e71c7,g8Ujcw,125,0,1576182424
2019/12/12/[$LATEST]a93869d0cfce4d6f8907ec48e9eef4fc,24322,0,2,392400,0,12,0,0,0,144,0,62,0,0,4,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,368,0,4,410524,512,tutorial9,us-east-1,689,0,0,72408,0,5,633804,0,d0a5bb95-9b35-4bb2-9253-0b3acda23061,yVBXpQ,257,0,1576183089
2019/12/12/[$LATEST]ade6a3d911f743df9b97b8197ddb3061,23307,2,2,281883,0,5,0,0,0,129,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,330,0,20,409976,512,tutorial9,us-east-1,690,0,0,72988,0,21,633804,0,a96e99b1-d05f-4f26-b602-73c851b0b36d,hzWV28,67,0,1576183637
2019/12/12/[$LATEST]11f62e8a6c6b408586b6c302dc8071b0,24590,2,2,319436,0,14,0,0,0,132,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,375,0,3,409212,512,tutorial9,us-east-1,690,0,0,72847,0,4,633804,1,e1707efd-06d3-4601-bd65-83f7b5a7b0cc,vfjy6n,147,0,1576183461
2019/12/12/[$LATEST]fcc7d3f39bfa436d8a3ca069a08c5856,22448,2,2,318475,0,10,0,0,0,123,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,344,0,4,412676,512,tutorial9,us-east-1,682,0,0,71588,0,5,633804,0,2dc8ab96-0e86-41b0-b5f7-ee5d5e71057d,mBp05T,179,0,1576183452
2019/12/12/[$LATEST]11f62e8a6c6b408586b6c302dc8071b0,13784,1469,2,291109,2628,7,0,0,0,67,12,62,0,0,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,88,23,300,473128,512,tutorial9,us-east-1,645,0,1,60807,1456,13664,633804,13363,e1707efd-06d3-4601-bd65-83f7b5a7b0cc,vfjy6n,48,12,1576183461
2019/12/12/[$LATEST]144dbb1e9eb44273ab5c23465f21fd41,26756,2,2,524845,0,12,0,0,0,141,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,365,0,4,412464,512,tutorial9,us-east-1,684,0,0,71460,0,4,633804,0,e7900f82-3990-43ee-8e05-db22673e71c7,g8Ujcw,128,0,1576182424
2019/12/12/[$LATEST]a93869d0cfce4d6f8907ec48e9eef4fc,23560,2,2,392249,0,12,0,0,0,143,0,62,0,0,3,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,356,0,4,411384,512,tutorial9,us-east-1,689,0,0,71780,0,5,633804,0,d0a5bb95-9b35-4bb2-9253-0b3acda23061,yVBXpQ,253,0,1576183089
2019/12/12/[$LATEST]812e2aa9aec64af0b75436a6ab3d09c7,24426,2,2,271532,0,9,0,0,0,119,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,385,0,8,404484,512,tutorial9,us-east-1,685,0,0,74173,0,9,633804,1,73aad9bd-ce4d-4405-ab6c-27d5012ddc73,V3MMI0,77,0,1576183706
2019/12/12/[$LATEST]812e2aa9aec64af0b75436a6ab3d09c7,23327,11,2,271264,2,9,0,0,0,117,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,359,0,4,405380,512,tutorial9,us-east-1,685,0,0,73269,0,15,633804,10,73aad9bd-ce4d-4405-ab6c-27d5012ddc73,V3MMI0,74,0,1576183706
2019/12/12/[$LATEST]11f62e8a6c6b408586b6c302dc8071b0,24246,2,2,319363,0,14,0,0,0,131,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,369,0,3,409576,512,tutorial9,us-east-1,690,0,0,72515,0,4,633804,1,e1707efd-06d3-4601-bd65-83f7b5a7b0cc,vfjy6n,146,0,1576183461
